"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1"
NA,NA,NA,NA,"vnx1","ynl321w","ORF","34696-37422","+","XIV","ynl321w",71.859512942134
NA,NA,NA,NA,"mrl1","ypr079w","ORF","698869-700014","+","XVI","ypr079w",71.6631874370173
NA,NA,NA,NA,"trs31","ydr472w","ORF","1403322-1404173","+","IV","ydr472w",71.5932666671852
NA,NA,NA,NA,"axl2","yil140w","ORF","85366-87837","+","IX","yil140w",71.4906862089717
NA,NA,NA,NA,"yor283w","yor283w","ORF","847453-848145","+","XV","yor283w",71.3152751501538
NA,NA,NA,NA,"ret3","ypl010w","ORF","535018-535587","+","XVI","ypl010w",71.3130341391875
NA,NA,NA,NA,"yor225w","yor225w","ORF","761392-761721","+","XV","yor225w",71.2908245883173
NA,NA,NA,NA,"tho1","yer063w","ORF","281710-282366","+","V","yer063w",71.260236065338
NA,NA,NA,NA,"smf1","yol122c","ORF","89692-91419","-","XV","yol122c",70.9319974598562
NA,NA,NA,NA,"mid2","ylr332w","ORF","790676-791806","+","XII","ylr332w",70.7407772080234
NA,NA,NA,NA,"esf1","ydr365c","ORF","1204497-1206383","-","IV","ydr365c",70.5854094827373
NA,NA,NA,NA,"apm2","yhl019c","ORF","67731-69548","-","VIII","yhl019c",70.5732724216483
"gpr1",0,1,0,"gpr1","ydl035c","ORF","389172-392057","-","IV","ydl035c",70.5647510786808
NA,NA,NA,NA,"ypl245w","ypl245w","ORF","85586-86950","+","XVI","ypl245w",70.420235596307
NA,NA,NA,NA,"yer133w-a","yer133w-a","ORF","437191-437532","+","V","yer133w-a",70.3973560111899
NA,NA,NA,NA,"yor218c","yor218c","ORF","751476-751895","-","XV","yor218c",70.2956606869229
NA,NA,NA,NA,"yer152c","yer152c","ORF","472657-473988","-","V","yer152c",70.2628052691358
NA,NA,NA,NA,"nup116","ymr047c","ORF","363364-366705","-","XIII","ymr047c",70.1953044883671
NA,NA,NA,NA,"ssu72","ynl222w","ORF","229094-229714","+","XIV","ynl222w",70.0868765549801
"cyt2",0,0,1,"cyt2","ykl087c","ORF","277189-277863","-","XI","ykl087c",69.7508920082744
NA,NA,NA,NA,"ymr310c","ymr310c","ORF","895716-896669","-","XIII","ymr310c",69.736903035685
NA,NA,NA,NA,"rrp42","ydl111c","ORF","263313-264110","-","IV","ydl111c",69.6495019651042
NA,NA,NA,NA,"bud19","yjl188c","ORF","76202-76510","-","X","yjl188c",69.5667190658828
NA,NA,NA,NA,"art5","ygr068c","ORF","625324-627084","-","VII","ygr068c",69.4207181428097
NA,NA,NA,NA,"bud17","ynr027w","ORF","674923-675876","+","XIV","ynr027w",69.3309076575154
NA,NA,NA,NA,"cln1","ymr199w","ORF","662644-664284","+","XIII","ymr199w",69.1399571913061
NA,NA,NA,NA,"kha1","yjl094c","ORF","251821-254442","-","X","yjl094c",69.1380253488619
NA,NA,NA,NA,"ncp1","yhr042w","ORF","190543-192618","+","VIII","yhr042w",69.1223502161623
NA,NA,NA,NA,"ybr109w-a","ybr109w-a","ORF","458608-458832","+","II","ybr109w-a",68.8791254992866
NA,NA,NA,NA,"mnn1","yer001w","ORF","153520-155808","+","V","yer001w",68.5107946359636
"ark1",0,0.5,0.5,"ark1","ynl020c","ORF","595623-597539","-","XIV","ynl020c",68.4588413023439
NA,NA,NA,NA,"alg6","yor002w","ORF","329417-331051","+","XV","yor002w",68.3279643133937
NA,NA,NA,NA,"ent1","ydl161w","ORF","167714-169078","+","IV","ydl161w",68.2645814193948
NA,NA,NA,NA,"duf1","yol087c","ORF","155287-158637","-","XV","yol087c",68.2047646825567
NA,NA,NA,NA,"spl2","yhr136c","ORF","374654-375100","-","VIII","yhr136c",68.1706199121184
"vma6",0,0,1,"vma6","ylr447c","ORF","1026856-1027893","-","XII","ylr447c",68.1099132971585
"ufd2",0,0,1,"ufd2","ydl190c","ORF","118707-121592","-","IV","ydl190c",68.0372272221035
NA,NA,NA,NA,"ycr041w","ycr041w","ORF","200911-201243","+","III","ycr041w",67.9336074702697
NA,NA,NA,NA,"ybl083c","ybl083c","ORF","69713-70138","-","II","ybl083c",67.7699114833578
NA,NA,NA,NA,"yvc1","yor087w","ORF","487707-489734","+","XV","yor087w",67.7277603005244
NA,NA,NA,NA,"apm4","yol062c","ORF","210520-211995","-","XV","yol062c",67.6689149811545
NA,NA,NA,NA,"msa1","yor066w","ORF","449436-451325","+","XV","yor066w",67.4672342200503
NA,NA,NA,NA,"kap95","ylr347c","ORF","823828-826413","-","XII","ylr347c",67.3488318264808
NA,NA,NA,NA,"ygl006w-a","ygl006w-a","ORF","485423-485533","+","VII","ygl006w-a",67.2703782590735
NA,NA,NA,NA,"msy1","ypl097w","ORF","364952-366430","+","XVI","ypl097w",67.0631865516058
NA,NA,NA,NA,"bmt6","ylr063w","ORF","264157-265254","+","XII","ylr063w",67.0251748449041
NA,NA,NA,NA,"pdp3","ylr455w","ORF","1053629-1054543","+","XII","ylr455w",67.0131279446712
NA,NA,NA,NA,"ded1","yor204w","ORF","722911-724725","+","XV","yor204w",66.9791666771389
NA,NA,NA,NA,"ela1","ynl230c","ORF","217523-218662","-","XIV","ynl230c",66.7341453876267
NA,NA,NA,NA,"spt23","ykl020c","ORF","398832-402080","-","XI","ykl020c",66.6832706023869
"phd1",0,1,0,"phd1","ykl043w","ORF","356748-357848","+","XI","ykl043w",66.5856268137953
NA,NA,NA,NA,"cab2","yil083c","ORF","203556-204653","-","IX","yil083c",66.4527806042347
NA,NA,NA,NA,"rpo21","ydl140c","ORF","205360-210561","-","IV","ydl140c",66.2980410158412
NA,NA,NA,NA,"yta6","ypl074w","ORF","415763-418027","+","XVI","ypl074w",66.2500242374387
NA,NA,NA,NA,"srp102","ykl154w","ORF","161601-162335","+","XI","ykl154w",66.2383350359996
NA,NA,NA,NA,"ycr023c","ycr023c","ORF","158538-160373","-","III","ycr023c",65.9933191747281
NA,NA,NA,NA,"cym1","ydr430c","ORF","1325501-1328470","-","IV","ydr430c",65.9689905505499
NA,NA,NA,NA,"ccr4","yal021c","ORF","110846-113359","-","I","yal021c",65.9618453965746
NA,NA,NA,NA,"cbp1","yjl209w","ORF","38005-39969","+","X","yjl209w",65.8976512391079
NA,NA,NA,NA,"seg1","ymr086w","ORF","439208-442090","+","XIII","ymr086w",65.8127624863855
NA,NA,NA,NA,"ymr075c-a","ymr075c-a","ORF","415688-416053","-","XIII","ymr075c-a",65.7231877066561
"hrb1",0,1,0,"hrb1","ynl004w","ORF","622915-624621","+","XIV","ynl004w",65.5717047586464
NA,NA,NA,NA,"nhp10","ydl002c","ORF","446967-447578","-","IV","ydl002c",65.5018100326129
NA,NA,NA,NA,"rfc5","ybr087w","ORF","423765-424829","+","II","ybr087w",65.4601306789181
NA,NA,NA,NA,"qns1","yhr074w","ORF","246193-248337","+","VIII","yhr074w",65.3734499450861
NA,NA,NA,NA,"ymr027w","ymr027w","ORF","325877-327289","+","XIII","ymr027w",65.1496231453994
NA,NA,NA,NA,"rga2","ydr379w","ORF","1230167-1233196","+","IV","ydr379w",64.9116152252401
NA,NA,NA,NA,"apq13","yjl075c","ORF","298460-298876","-","X","yjl075c",64.8896006926289
NA,NA,NA,NA,"atx2","yor079c","ORF","473475-474416","-","XV","yor079c",64.7914467155629
NA,NA,NA,NA,"yer148w-a","yer148w-a","ORF","466185-466763","+","V","yer148w-a",64.5574660761852
NA,NA,NA,NA,"rsp5","yer125w","ORF","410189-412618","+","V","yer125w",64.4804030356013
NA,NA,NA,NA,"alo1","yml086c","ORF","95791-97371","-","XIII","yml086c",64.4657679802646
NA,NA,NA,NA,"arg8","yol140w","ORF","58759-60030","+","XV","yol140w",64.217747691308
NA,NA,NA,NA,"isn1","yor155c","ORF","626628-627980","-","XV","yor155c",64.193920177974
NA,NA,NA,NA,"ylr428c","ylr428c","ORF","990617-990961","-","XII","ylr428c",64.1285656711556
NA,NA,NA,NA,"sge1","ypr198w","ORF","934034-935665","+","XVI","ypr198w",64.0789873499258
NA,NA,NA,NA,"aca1","yer045c","ORF","240032-241501","-","V","yer045c",64.0685551350858
NA,NA,NA,NA,"elp2","ygr200c","ORF","899904-902270","-","VII","ygr200c",63.9524163117196
NA,NA,NA,NA,"cdc27","ybl084c","ORF","67169-69445","-","II","ybl084c",63.9188713039301
NA,NA,NA,NA,"yhr069c-a","yhr069c-a","ORF","234874-235236","-","VIII","yhr069c-a",63.9044003077338
"atg18",0,0,1,"atg18","yfr021w","ORF","194812-196314","+","VI","yfr021w",63.7286193028405
NA,NA,NA,NA,"pea2","yer149c","ORF","466208-467470","-","V","yer149c",63.6011579291817
NA,NA,NA,NA,"yfr009w-a","yfr009w-a","ORF","163875-164132","+","VI","yfr009w-a",63.5821662949916
NA,NA,NA,NA,"ndd1","yor372c","ORF","1034807-1036471","-","XV","yor372c",63.5284021556831
NA,NA,NA,NA,"rts1","yor014w","ORF","357674-359947","+","XV","yor014w",63.4113938390343
NA,NA,NA,NA,"nut1","ygl151w","ORF","217524-220922","+","VII","ygl151w",63.1076775241614
NA,NA,NA,NA,"msr1","yhr091c","ORF","284839-286770","-","VIII","yhr091c",62.8940872550633
NA,NA,NA,NA,"cog1","ygl223c","ORF","79112-80365","-","VII","ygl223c",62.8918918727245
NA,NA,NA,NA,"mob2","yfl034c-b","ORF","63016-63993","-","VI","yfl034c-b",62.8364660899435
NA,NA,NA,NA,"fra1","yll029w","ORF","81461-83710","+","XII","yll029w",62.7288835180494
NA,NA,NA,NA,"ygr054w","ygr054w","ORF","596693-598621","+","VII","ygr054w",62.6463565199156
"add66",0,0,1,"add66","ykl206c","ORF","49006-49809","-","XI","ykl206c",62.6321851736838
NA,NA,NA,NA,"tcp1","ydr212w","ORF","887232-888911","+","IV","ydr212w",62.5517708502366
NA,NA,NA,NA,"swa2","ydr320c","ORF","1106095-1108101","-","IV","ydr320c",62.5070569526608
"ypk1",0,0,1,"ypk1","ykl126w","ORF","205707-207749","+","XI","ykl126w",62.3835297615107
NA,NA,NA,NA,"pab1","yer165w","ORF","510373-512106","+","V","yer165w",62.3392257886776
NA,NA,NA,NA,"aro8","ygl202w","ORF","116059-117561","+","VII","ygl202w",62.3047537021273
NA,NA,NA,NA,"yft2","ydr319c","ORF","1105003-1105827","-","IV","ydr319c",62.3017018221387
NA,NA,NA,NA,"met22","yol064c","ORF","206103-207176","-","XV","yol064c",62.2188313242685
NA,NA,NA,NA,"yll017w","yll017w","pseudogene","112234-112545","+","XII","yll017w",62.10616838347
NA,NA,NA,NA,"ypr147c","ypr147c","ORF","825645-826559","-","XVI","ypr147c",62.0493886904426
NA,NA,NA,NA,"yhr022c","yhr022c","ORF","149575-150345","-","VIII","yhr022c",62.045731036139
NA,NA,NA,NA,"ypr197c","ypr197c","ORF","933898-934461","-","XVI","ypr197c",61.8661527555734
NA,NA,NA,NA,"yck1","yhr135c","ORF","372694-374310","-","VIII","yhr135c",61.8384827035437
NA,NA,NA,NA,"efm3","yjr129c","ORF","664000-665019","-","X","yjr129c",61.8286265222798
NA,NA,NA,NA,"nup53","ymr153w","ORF","564435-565862","+","XIII","ymr153w",61.7063939351748
NA,NA,NA,NA,"hem25","ydl119c","ORF","246689-247612","-","IV","ydl119c",61.6118893231565
NA,NA,NA,NA,"dam1","ygr113w","ORF","718893-719924","+","VII","ygr113w",61.448276433757
NA,NA,NA,NA,"yhr175w-a","yhr175w-a","ORF","453558-453707","+","VIII","yhr175w-a",61.3767650287302
"mpd1",0,1,0,"mpd1","yor288c","ORF","852121-853077","-","XV","yor288c",61.2173057101737
NA,NA,NA,NA,"cwc25","ynl245c","ORF","186346-186885","-","XIV","ynl245c",61.0784778220375
NA,NA,NA,NA,"ent5","ydr153c","ORF","766736-767971","-","IV","ydr153c",60.928461083483
NA,NA,NA,NA,"aep3","ypl005w","ORF","548486-550306","+","XVI","ypl005w",60.8689906910225
NA,NA,NA,NA,"vps53","yjl029c","ORF","388385-390853","-","X","yjl029c",60.8629367633936
NA,NA,NA,NA,"cbk1","ynl161w","ORF","332597-334867","+","XIV","ynl161w",60.6982020465873
NA,NA,NA,NA,"rtr2","ydr066c","ORF","581908-582498","-","IV","ydr066c",60.6016767999162
"ptc5",0,0,1,"ptc5","yor090c","ORF","491123-492841","-","XV","yor090c",60.4939899450356
NA,NA,NA,NA,"ant1","ypr128c","ORF","791218-792204","-","XVI","ypr128c",60.4631412910124
NA,NA,NA,NA,"gpa1","yhr005c","ORF","113499-114917","-","VIII","yhr005c",60.3353537183202
NA,NA,NA,NA,"hos3","ypl116w","ORF","329606-331699","+","XVI","ypl116w",60.1353435647553
NA,NA,NA,NA,"ych1","ygr203w","ORF","905237-905683","+","VII","ygr203w",60.0819746214224
NA,NA,NA,NA,"thi3","ydl080c","ORF","310642-312471","-","IV","ydl080c",59.9956064761
NA,NA,NA,NA,"ykl033w-a","ykl033w-a","ORF","374505-375215","+","XI","ykl033w-a",59.9756559126428
"gtr1",0,0,1,"gtr1","yml121w","ORF","26930-27862","+","XIII","yml121w",59.961203229521
NA,NA,NA,NA,"cet1","ypl228w","ORF","118382-120031","+","XVI","ypl228w",59.9362681064568
NA,NA,NA,NA,"yel025c","yel025c","ORF","102581-106147","-","V","yel025c",59.8922137816104
NA,NA,NA,NA,"ntc20","ybr188c","ORF","603685-604107","-","II","ybr188c",59.8246254796897
NA,NA,NA,NA,"ynl198c","ynl198c","ORF","266514-266816","-","XIV","ynl198c",59.7422450707554
NA,NA,NA,NA,"tmt1","yer175c","ORF","539464-540363","-","V","yer175c",59.7186860009376
NA,NA,NA,NA,"tfa2","ykr062w","ORF","559666-560652","+","XI","ykr062w",59.6861376168527
NA,NA,NA,NA,"sls1","ylr139c","ORF","421542-423473","-","XII","ylr139c",59.6843681641409
NA,NA,NA,NA,"rsc1","ygr056w","ORF","601661-604447","+","VII","ygr056w",59.5283006796219
NA,NA,NA,NA,"gyp7","ydl234c","ORF","34237-36477","-","IV","ydl234c",59.3402036599021
NA,NA,NA,NA,"rpl42b","yhr141c","ORF","381990-382751","-","VIII","yhr141c",59.2586365271937
NA,NA,NA,NA,"opi9","ylr338w","ORF","804346-805203","+","XII","ylr338w",59.1923181994477
NA,NA,NA,NA,"pet8","ynl003c","ORF","624975-625829","-","XIV","ynl003c",59.1410424327249
NA,NA,NA,NA,"nit2","yjl126w","ORF","184501-185424","+","X","yjl126w",59.1270259833262
NA,NA,NA,NA,"dst1","ygl043w","ORF","417483-418412","+","VII","ygl043w",59.1207463107136
NA,NA,NA,NA,"apl1","yjr005w","ORF","445923-448025","+","X","yjr005w",59.0631679418005
NA,NA,NA,NA,"sst2","ylr452c","ORF","1039270-1041366","-","XII","ylr452c",58.8918085588461
NA,NA,NA,NA,"rme1","ygr044c","ORF","582990-583892","-","VII","ygr044c",58.8641813366876
NA,NA,NA,NA,"yck3","yer123w","ORF","404813-406387","+","V","yer123w",58.7666500637193
NA,NA,NA,NA,"mot3","ymr070w","ORF","409154-410626","+","XIII","ymr070w",58.6885396035632
NA,NA,NA,NA,"cpd1","ygr247w","ORF","984966-985685","+","VII","ygr247w",58.6680850716088
NA,NA,NA,NA,"sam3","ypl274w","ORF","22938-24701","+","XVI","ypl274w",58.5859070845678
NA,NA,NA,NA,"ypt31","yer031c","ORF","214076-214747","-","V","yer031c",58.5659818454079
NA,NA,NA,NA,"rpc25","ykl144c","ORF","175843-176481","-","XI","ykl144c",58.3982411174655
NA,NA,NA,NA,"prd1","ycl057w","ORF","24768-26906","+","III","ycl057w",58.3043914427481
NA,NA,NA,NA,"myo4","yal029c","ORF","87855-92270","-","I","yal029c",58.3017469764355
NA,NA,NA,NA,"irc11","yor013w","ORF","356751-357221","+","XV","yor013w",58.2442779839723
"tgl3",0,1,0,"tgl3","ymr313c","ORF","899379-901307","-","XIII","ymr313c",58.1323977434114
NA,NA,NA,NA,"opt1","yjl212c","ORF","33850-36249","-","X","yjl212c",58.1280092355578
NA,NA,NA,NA,"gds1","yor355w","ORF","1005137-1006705","+","XV","yor355w",58.0554176811774
NA,NA,NA,NA,"ygl052w","ygl052w","ORF","403437-403742","+","VII","ygl052w",58.0298185018322
"ymr010w",0,1,0,"ymr010w","ymr010w","ORF","285100-286317","+","XIII","ymr010w",57.9609930805611
NA,NA,NA,NA,"mrp13","ygr084c","ORF","647123-648142","-","VII","ygr084c",57.727588747025
NA,NA,NA,NA,"yip5","ygl161c","ORF","199210-200142","-","VII","ygl161c",57.6868001319035
NA,NA,NA,NA,"ecm12","yhr021w-a","ORF","149225-149680","+","VIII","yhr021w-a",57.6835829541516
NA,NA,NA,NA,"cdc73","ylr418c","ORF","956914-958095","-","XII","ylr418c",57.5983838108029
NA,NA,NA,NA,"rot2","ybr229c","ORF","676357-679221","-","II","ybr229c",57.0705883195465
NA,NA,NA,NA,"yir020c-b","yir020c-b","ORF","397215-397949","-","IX","yir020c-b",57.0572010940468
NA,NA,NA,NA,"icp55","yer078c","ORF","316807-318342","-","V","yer078c",57.0533200089502
NA,NA,NA,NA,"ygr117c","ygr117c","ORF","725049-726479","-","VII","ygr117c",57.0468639988903
NA,NA,NA,NA,"yer087c-a","yer087c-a","ORF","331817-332368","-","V","yer087c-a",57.0186710569642
"nst1",0,0.5,0.5,"nst1","ynl091w","ORF","452408-456130","+","XIV","ynl091w",56.8784677648992
NA,NA,NA,NA,"scy1","ygl083w","ORF","353058-355472","+","VII","ygl083w",56.8652662249814
NA,NA,NA,NA,"trs65","ygr166w","ORF","830515-832197","+","VII","ygr166w",56.5926941173383
NA,NA,NA,NA,"rkm5","ylr137w","ORF","417006-418109","+","XII","ylr137w",56.5599951512428
"rrg1",0,0,1,"rrg1","ydr065w","ORF","580687-581784","+","IV","ydr065w",56.4777249385161
NA,NA,NA,NA,"npr1","ynl183c","ORF","293137-295509","-","XIV","ynl183c",56.4639752234765
NA,NA,NA,NA,"rax1","yor301w","ORF","880965-882272","+","XV","yor301w",56.3967322322395
NA,NA,NA,NA,"she3","ybr130c","ORF","495592-496869","-","II","ybr130c",56.3669539581066
NA,NA,NA,NA,"nup57","ygr119c","ORF","728046-729671","-","VII","ygr119c",56.3594786724297
NA,NA,NA,NA,"mrm1","yor201c","ORF","720470-721708","-","XV","yor201c",56.2510290531065
NA,NA,NA,NA,"vps29","yhr012w","ORF","129481-130448","+","VIII","yhr012w",56.2340994958786
NA,NA,NA,NA,"ygr018c","ygr018c","ORF","524365-524694","-","VII","ygr018c",56.209590707861
NA,NA,NA,NA,"yor139c","yor139c","ORF","586950-587342","-","XV","yor139c",56.1276328366171
NA,NA,NA,NA,"yor169c","yor169c","ORF","651376-651840","-","XV","yor169c",56.0410211131421
"hcm1",1,0,0,"hcm1","ycr065w","ORF","229310-231004","+","III","ycr065w",55.9579569732269
NA,NA,NA,NA,"rgp1","ydr137w","ORF","728259-730250","+","IV","ydr137w",55.7704903431184
NA,NA,NA,NA,"yir042c","yir042c","ORF","435273-435983","-","IX","yir042c",55.6604662549491
NA,NA,NA,NA,"hkr1","ydr420w","ORF","1306267-1311675","+","IV","ydr420w",55.5164024822619
NA,NA,NA,NA,"pta1","yal043c","ORF","58695-61052","-","I","yal043c",55.4296562243757
NA,NA,NA,NA,"erv46","yal042w","ORF","61316-62563","+","I","yal042w",55.3872175484472
NA,NA,NA,NA,"nam7","ymr080c","ORF","426712-429627","-","XIII","ymr080c",55.3018908567135
NA,NA,NA,NA,"hpf1","yol155c","ORF","28703-31606","-","XV","yol155c",55.2688870670721
NA,NA,NA,NA,"fpr2","ydr519w","ORF","1480425-1480832","+","IV","ydr519w",55.2556126258992
NA,NA,NA,NA,"ndj1","yol104c","ORF","116396-117454","-","XV","yol104c",55.2162629715915
NA,NA,NA,NA,"arp5","ynl059c","ORF","512668-514935","-","XIV","ynl059c",55.1160029840021
"thr4",0,0,1,"thr4","ycr053w","ORF","216697-218241","+","III","ycr053w",55.1087478761923
NA,NA,NA,NA,"dse4","ynr067c","ORF","755746-759099","-","XIV","ynr067c",55.105564856803
NA,NA,NA,NA,"dfm1","ydr411c","ORF","1293369-1294394","-","IV","ydr411c",54.8504884343377
NA,NA,NA,NA,"ynl284c-a","ynl284c-a","transposable_element_gene","100910-102232","-","XIV","ynl284c-a",54.7149954829403
NA,NA,NA,NA,"yim1","ymr152w","ORF","563096-564193","+","XIII","ymr152w",54.4612900580893
"cwh43",0,0,1,"cwh43","ycr017c","ORF","144773-147634","-","III","ycr017c",54.4409436233247
NA,NA,NA,NA,"rap1","ynl216w","ORF","241689-244172","+","XIV","ynl216w",54.4093496852601
NA,NA,NA,NA,"mit1","yel007w","ORF","141892-143892","+","V","yel007w",54.2534752812253
NA,NA,NA,NA,"vma10","yhr039c-a","ORF","187173-187679","-","VIII","yhr039c-a",54.2221663712066
NA,NA,NA,NA,"sfb3","yhr098c","ORF","299145-301934","-","VIII","yhr098c",54.1418386979435
NA,NA,NA,NA,"dot5","yil010w","ORF","334882-335529","+","IX","yil010w",54.126754324868
NA,NA,NA,NA,"clc1","ygr167w","ORF","832456-833157","+","VII","ygr167w",54.0995464077727
NA,NA,NA,NA,"stp22","ycl008c","ORF","105696-106853","-","III","ycl008c",54.0571430727671
NA,NA,NA,NA,"met32","ydr253c","ORF","963990-964565","-","IV","ydr253c",54.0229268798621
NA,NA,NA,NA,"cop1","ydl145c","ORF","194571-198176","-","IV","ydl145c",53.9177332199008
NA,NA,NA,NA,"ybr232c","ybr232c","ORF","683373-683732","-","II","ybr232c",53.7910907351923
NA,NA,NA,NA,"pob3","yml069w","ORF","135500-137158","+","XIII","yml069w",53.7873419525052
NA,NA,NA,NA,"fre5","yor384w","ORF","1061564-1063648","+","XV","yor384w",53.7476191675981
NA,NA,NA,NA,"bsd2","ybr290w","ORF","782591-783556","+","II","ybr290w",53.5463520199948
NA,NA,NA,NA,"pro3","yer023w","ORF","201076-201936","+","V","yer023w",53.5245640603725
"clg1",0,0,1,"clg1","ygl215w","ORF","87981-89339","+","VII","ygl215w",53.5015519659075
NA,NA,NA,NA,"ies6","yel044w","ORF","69757-70257","+","V","yel044w",53.4985291880691
NA,NA,NA,NA,"ppg1","ynr032w","ORF","686010-687116","+","XIV","ynr032w",53.4904809149079
NA,NA,NA,NA,"pho12","yhr215w","ORF","552099-553502","+","VIII","yhr215w",53.4208953215196
NA,NA,NA,NA,"ura5","yml106w","ORF","56773-57453","+","XIII","yml106w",53.4193932253837
NA,NA,NA,NA,"not5","ypr072w","ORF","690107-691789","+","XVI","ypr072w",53.3548015295267
NA,NA,NA,NA,"ura8","yjr103w","ORF","620754-622490","+","X","yjr103w",53.2767888766441
NA,NA,NA,NA,"srb7","ydr308c","ORF","1078027-1078449","-","IV","ydr308c",53.2521378665297
NA,NA,NA,NA,"gup1","ygl084c","ORF","350616-352298","-","VII","ygl084c",53.2342594834882
NA,NA,NA,NA,"bub3","yor026w","ORF","379781-380806","+","XV","yor026w",53.0972632978868
"erg5",0,0,1,"erg5","ymr015c","ORF","300869-302485","-","XIII","ymr015c",53.0167069951361
"ppa2",0,0,1,"ppa2","ymr267w","ORF","801772-802704","+","XIII","ymr267w",52.9549673816686
NA,NA,NA,NA,"sec18","ybr080c","ORF","398614-400890","-","II","ybr080c",52.9098566237541
NA,NA,NA,NA,"dus4","ylr405w","ORF","929789-930892","+","XII","ylr405w",52.7116866888407
NA,NA,NA,NA,"rad33","yml011c","ORF","246895-247428","-","XIII","yml011c",52.5544517829751
NA,NA,NA,NA,"gcd2","ygr083c","ORF","644860-646815","-","VII","ygr083c",52.5049482491345
"wsc4",0,0,1,"wsc4","yhl028w","ORF","48763-50580","+","VIII","yhl028w",52.2281636449334
NA,NA,NA,NA,"pho3","ybr092c","ORF","427698-429101","-","II","ybr092c",52.2194254639622
NA,NA,NA,NA,"pcl10","ygl134w","ORF","255663-256964","+","VII","ygl134w",52.2164945109184
"nma111",1,0,0,"nma111","ynl123w","ORF","394685-397678","+","XIV","ynl123w",52.1169215625814
NA,NA,NA,NA,"paf1","ybr279w","ORF","761257-762594","+","II","ybr279w",52.075927350026
NA,NA,NA,NA,"ypr053c","ypr053c","ORF","665788-666243","-","XVI","ypr053c",52.0212833679817
NA,NA,NA,NA,"crm1","ygr218w","ORF","932541-935795","+","VII","ygr218w",51.9911791348021
NA,NA,NA,NA,"yer046w-a","yer046w-a","ORF","243700-244029","+","V","yer046w-a",51.9825691730075
"las21",0,0,1,"las21","yjl062w","ORF","317284-319776","+","X","yjl062w",51.9433349550524
NA,NA,NA,NA,"gpi18","ybr004c","ORF","244366-245667","-","II","ybr004c",51.9206835235788
"gln3",0,0.666666666666667,0.333333333333333,"gln3","yer040w","ORF","229795-231987","+","V","yer040w",51.8690799252708
NA,NA,NA,NA,"ygr146c-a","ygr146c-a","ORF","785276-785437","-","VII","ygr146c-a",51.8310375097555
NA,NA,NA,NA,"arg5,6","yer069w","ORF","295410-298001","+","V","yer069w",51.7813963631492
"tcm62",0,0,1,"tcm62","ybr044c","ORF","324341-326059","-","II","ybr044c",51.7233622734247
NA,NA,NA,NA,"yfl013w-a","yfl013w-a","ORF","107799-108602","+","VI","yfl013w-a",51.6511179380755
NA,NA,NA,NA,"ape2","ykl157w","ORF","154991-158232","+","XI","ykl157w",51.4945429802971
NA,NA,NA,NA,"sec6","yil068c","ORF","233057-235474","-","IX","yil068c",51.4039650071049
NA,NA,NA,NA,"ybr178w","ybr178w","ORF","586071-586445","+","II","ybr178w",51.3262804368651
NA,NA,NA,NA,"mrs3","yjl133w","ORF","160619-161563","+","X","yjl133w",51.2027237624675
NA,NA,NA,NA,"ume1","ypl139c","ORF","289669-291051","-","XVI","ypl139c",50.9999737326991
NA,NA,NA,NA,"thi80","yor143c","ORF","601383-602342","-","XV","yor143c",50.9223107922112
"kss1",0,0,1,"kss1","ygr040w","ORF","575398-576504","+","VII","ygr040w",50.887040004919
NA,NA,NA,NA,"mex67","ypl169c","ORF","229039-230838","-","XVI","ypl169c",50.8677025542367
"sko1",0,0,1,"sko1","ynl167c","ORF","319416-321359","-","XIV","ynl167c",50.7593720064723
NA,NA,NA,NA,"pdr1","ygl013c","ORF","469092-472298","-","VII","ygl013c",50.7042990499125
NA,NA,NA,NA,"apl6","ygr261c","ORF","1014321-1016750","-","VII","ygr261c",50.6786260023269
NA,NA,NA,NA,"ydr464c-a","ydr464c-a","ORF","1392492-1392680","-","IV","ydr464c-a",50.6572114731265
NA,NA,NA,NA,"ypr012w","ypr012w","ORF","584309-584563","+","XVI","ypr012w",50.6561596347441
NA,NA,NA,NA,"srn2","ylr119w","ORF","385534-386175","+","XII","ylr119w",50.6354109168629
NA,NA,NA,NA,"tos4","ylr183c","ORF","520543-522012","-","XII","ylr183c",50.6152412510367
NA,NA,NA,NA,"ynr065c","ynr065c","ORF","750350-753700","-","XIV","ynr065c",50.5824643505707
NA,NA,NA,NA,"npl6","ymr091c","ORF","450058-451365","-","XIII","ymr091c",50.5145835451139
NA,NA,NA,NA,"prt1","yor361c","ORF","1015361-1017652","-","XV","yor361c",50.4811310415176
NA,NA,NA,NA,"yer090c-a","yer090c-a","ORF","338322-338411","-","V","yer090c-a",50.3869123143361
"ypt6",0,1,0,"ypt6","ylr262c","ORF","668244-668891","-","XII","ylr262c",50.2418900727883
"spt8",0,0,1,"spt8","ylr055c","ORF","251272-253080","-","XII","ylr055c",50.225408855982
NA,NA,NA,NA,"ylr041w","ylr041w","ORF","229377-229697","+","XII","ylr041w",50.2044697672127
NA,NA,NA,NA,"ent4","yll038c","ORF","65775-66518","-","XII","yll038c",50.0851918565043
NA,NA,NA,NA,"uip5","ykr044w","ORF","522015-523346","+","XI","ykr044w",50.0616077375234
