"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11"
NA,NA,NA,NA,"cdc24","yal041w","ORF","62840-65404","+","I","yal041w",-0.0410037931034485,-0.0817753393939396,-0.100238913157894,-0.199145835714286,-0.117657122916666,-0.0253579629629628,0.207878122580645,0.106804892857143,0.0613729430379747,0.0600727168539326,0.0611770732673266
NA,NA,NA,NA,"cdc45","ylr103c","ORF","343989-345941","-","XII","ylr103c",0.00701484655172433,0.00980868575757568,0.0158992694736842,0.0203505523809524,0.0401641264583334,0.0298443305555554,-0.0019791020967741,-0.00163619428571441,-0.0106097021518987,-0.0205947617977527,-0.029382319108911
NA,NA,NA,NA,"ydr417c","ydr417c","ORF","1301555-1301926","-","IV","ydr417c",3.12002103448275,1.9366503030303,1.72527105263163,-0.924619047619087,3.70512708333337,0.685936111111055,-8.18252612903221,2.21065642857138,-3.9954769620253,-8.86225932584269,-15.9335416831683
NA,NA,NA,NA,"pab1","yer165w","ORF","510373-512106","+","V","yer165w",-1.87963327586207,-2.24948615151516,-1.93652155263158,-3.32382304761904,0.421515999999992,0.268436722222229,-1.38721403225807,-0.076226685714289,-0.275583962025313,-0.434211348314608,-0.636694999999998
NA,NA,NA,NA,"swm1","ydr260c","ORF","976717-977229","-","IV","ydr260c",0.295729520689656,0.274520909090908,0.134790328947368,0.257997750000001,-0.507669804166667,-0.5972299,-0.55512340483871,-0.225642607142857,0.0508627556962024,0.314276626966291,0.608718333663367
NA,NA,NA,NA,"stu2","ylr045c","ORF","235037-237703","-","XII","ylr045c",0.0261124379310339,0.0302159393939394,0.0186592684210527,0.0448407285714284,-0.0481466604166666,-0.0680379833333333,-0.0713955193548387,-0.0849475600000001,-0.0853872126582279,-0.0946202842696627,-0.106116516831683
NA,NA,NA,NA,"met7","yor241w","ORF","786995-788641","+","XV","yor241w",-0.154080262068965,-0.206755800000001,-0.225566547368419,-0.356225376190477,-0.185416783333334,-0.168494414814815,-0.199869890322581,-0.0731626742857147,0.104850646835443,0.278326521348315,0.501391636633663
NA,NA,NA,NA,"taf13","yml098w","ORF","77267-77770","+","XIII","yml098w",-0.0642271931034467,-0.0799240606060633,-0.185099484210527,-0.177120745238094,-0.561241200000001,-0.599256109259258,-0.784891691935485,0.0452064400000012,0.376424110126582,0.697545270786516,0.969601261386139
"ymr099c",0,0,1,"ymr099c","ymr099c","ORF","463934-464827","-","XIII","ymr099c",-0.328252989655168,-0.268826490909095,-0.209498605263157,-0.0838540738095245,-0.135222497916665,-0.156922146296297,-0.105041174193549,-0.540036407142856,-0.17878402278481,0.0374476977528088,0.386329847524753
NA,NA,NA,NA,"ynl043c","ynl043c","ORF","545589-545909","-","XIV","ynl043c",1.99380534482759,2.28933703030303,2.32314810526316,3.6417605,1.28975783333334,0.760480981481477,-0.00674445161290432,2.56973391428572,1.15952439240506,0.208816651685394,-1.3971696039604
NA,NA,NA,NA,"cem1","yer061c","ORF","278298-279626","-","V","yer061c",-0.0427927655172399,-0.0264930090909089,-0.0236787394736849,-0.0163860523809521,0.015306889583333,-0.0233875259259264,-0.124792814516129,-0.28741106,-0.258173834177215,-0.279563005617978,-0.280389720792079
NA,NA,NA,NA,"kxd1","ygl079w","ORF","359444-360100","+","VII","ygl079w",-0.0386192379310351,-0.0220047333333335,0.00313643157894797,0.0142316333333331,0.125177364583333,0.0572072814814817,-0.171363211290323,-0.144919421428571,-0.051312636708861,-0.00483546067415726,0.0735912544554455
NA,NA,NA,NA,"ymr221c","ymr221c","ORF","713931-715445","-","XIII","ymr221c",0.00900880000000027,-0.0336757787878792,-0.0547348210526322,-0.149300569047619,-0.0670678124999998,-0.0758525777777781,-0.136345285483871,0.10275486,0.229264232911392,0.368004094382022,0.530002305940595
NA,NA,NA,NA,"mot3","ymr070w","ORF","409154-410626","+","XIII","ymr070w",0.109053420689655,0.0572426606060619,0.00681493684210391,-0.123353928571428,-0.150896418750001,0.0557877111111122,0.633483727419355,0.416870505714286,0.157644232911393,0.0107669146067416,-0.203923067326733
"aat2",1,0,0,"aat2","ylr027c","ORF","196829-198085","-","XII","ylr027c",-1.28540313793104,-1.26648375757575,-1.18793136842105,-1.43037878571429,-0.994643541666669,-0.111838037037033,2.12587677419355,-0.00379991428571559,-0.196717088607592,-0.377175505617975,-0.555529613861392
NA,NA,NA,NA,"tim8","yjr135w-a","ORF","676971-677234","+","X","yjr135w-a",0.990532103448277,1.08981233333333,0.835256,1.52089214285714,-0.56624483333333,-1.18406059259259,-2.18345779032258,-0.677622285714285,-0.244274987341773,0.0916706292134833,0.359847376237623
NA,NA,NA,NA,"nif3","ygl221c","ORF","81426-82292","-","VII","ygl221c",-0.571263455172412,-0.426314145454545,-0.179573778947367,-0.0846965880952411,0.744914952083334,0.777495187037036,0.414807200000002,0.13446165,0.100996069620252,-0.0217769146067406,-0.133790383168317
NA,NA,NA,NA,"nup116","ymr047c","ORF","363364-366705","-","XIII","ymr047c",-0.199719110344827,-0.209270645454545,-0.18091285,-0.256658492857143,-0.0347028208333337,0.0280716833333339,0.182272680645161,-0.212405662857143,-0.0899817924050631,-0.0147079943820224,0.142191062376237
NA,NA,NA,NA,"bpl1","ydl141w","ORF","203039-205111","+","IV","ydl141w",-0.103991772413792,-0.107651678787879,-0.0981986947368422,-0.101298369047619,-0.100522977083333,0.0109659111111111,0.30942829516129,0.139426791428572,0.0124417835443037,-0.0640973606741572,-0.165804125742574
NA,NA,NA,NA,"sgn1","yir001c","ORF","356143-356895","-","IX","yir001c",0.0620892758620686,0.0715020636363629,0.0498337052631582,0.0659201642857151,-0.0177782187500005,-0.0995695629629635,-0.19584244516129,-0.504483051428571,-0.331872045569621,-0.253905852808988,-0.0877771029702973
NA,NA,NA,NA,"pos5","ypl188w","ORF","191406-192650","+","XVI","ypl188w",0.234493113793103,0.308030081818183,0.293527636842104,0.609809552380953,0.0149387479166663,-0.156996514814814,-0.414719506451613,-0.137898061428571,-0.157067727848101,-0.180915853932584,-0.230265062376238
"elp4",0,1,0,"elp4","ypl101w","ORF","360209-361579","+","XVI","ypl101w",0.346493037931036,0.353009715151515,0.327435202631579,0.403835004761905,0.192726154166666,0.0596097962962966,-0.204563935483871,0.105108684285714,0.13152254556962,0.163429696629214,0.19372537029703
NA,NA,NA,NA,"yip3","ynl044w","ORF","545268-545877","+","XIV","ynl044w",2.229367,2.47189415151516,2.37037157894736,3.77364116666667,0.684483187499995,0.268403537037035,0.193521016129037,2.37154711428571,1.07125630379747,0.293783056179773,-1.04546064356436
NA,NA,NA,NA,"cts1","ylr286c","ORF","708448-710136","-","XII","ylr286c",-6.63322006896555,-6.60758230303028,-5.71722634210528,-7.87819342857141,-0.910215666666663,0.928031037037031,3.86071545161291,-4.46587585714287,-3.48573243037974,-3.64420482022471,-3.02313968316833
"ade2",0,1,0,"ade2","yor128c","ORF","564476-566191","-","XV","yor128c",-2.01690075862069,-2.12340309090908,-1.93708497368422,-2.63805261904762,-0.604375541666666,-0.202204944444446,0.263130903225808,-1.75504272857143,-1.30199811392405,-1.08194175280899,-0.500253376237624
NA,NA,NA,NA,"ydr524c-b","ydr524c-b","ORF","1489598-1489798","-","IV","ydr524c-b",-4.2618137931032,-22.3264272727272,-29.8192973684213,-81.4731619047619,-12.3964333333333,-15.847511111111,-42.6592887096776,-9.83834571428555,-20.1603379746837,-25.8875561797753,-34.1711316831682
NA,NA,NA,NA,"elo2","ycr034w","ORF","190592-191635","+","III","ycr034w",0.0842620344827608,-0.0751656666666676,-0.129586184210531,-0.517018571428567,-0.0877523750000009,-0.0801341111111103,-0.142700080645165,0.584586942857145,-0.228708797468356,-0.813908359550562,-1.69970947524752
NA,NA,NA,NA,"exo84","ybr102c","ORF","445062-447323","-","II","ybr102c",-0.10713032413793,-0.0972383575757575,-0.0910183184210529,-0.0606545785714281,-0.0814600208333334,-0.0720828462962962,-0.0660702854838712,-0.0921444671428571,-0.0252146037974684,0.0312527011235954,0.108995814851485
NA,NA,NA,NA,"emp47","yfl048c","ORF","38843-40180","-","VI","yfl048c",0.0169435448275859,0.0698016757575761,0.0783604263157886,0.288503871428572,-0.0311595458333347,-0.111894285185184,-0.234375567741936,-0.171877182857143,-0.21646407721519,-0.259537764044944,-0.316328139603961
NA,NA,NA,NA,"hhf2","ynl030w","ORF","576727-577038","+","XIV","ynl030w",-0.282065172413836,0.346181212121199,0.991058947368425,0.920147380952369,2.37051499999997,2.64875555555557,6.68272483870969,-10.6316975714286,1.41585025316458,9.37295808988759,22.6526878217822
NA,NA,NA,NA,"erg27","ylr100w","ORF","341810-342853","+","XII","ylr100w",0.884376362068965,0.950358584848487,0.885207889473682,1.26442588333333,0.2053167125,0.279536474074075,0.807374077419354,1.39037175714286,0.420108569620254,-0.23442397752809,-1.25871664752475
NA,NA,NA,NA,"leu1","ygl009c","ORF","476313-478652","-","VII","ygl009c",-0.630618655172427,-0.54524872727272,-0.441257710526321,-0.389805571428564,-0.164457645833333,0.0458991481481466,0.536938096774196,-0.30024224285715,-0.12188975949367,-0.0476104943820228,0.1142698019802
NA,NA,NA,NA,"srb5","ygr104c","ORF","697445-698368","-","VII","ygr104c",-0.046863120689655,-0.0277459090909094,-0.0173630131578948,0.0308657404761913,0.00628184374999933,-0.0563799685185181,-0.262946817741936,-0.0627444642857142,0.0772677810126582,0.182122313483146,0.302421488118812
NA,NA,NA,NA,"ydr341c","ydr341c","ORF","1151803-1153626","-","IV","ydr341c",-0.0816945172413817,-0.249861848484848,-0.239249894736844,-0.726443595238094,0.166401291666668,0.129770981481477,-0.328485887096773,1.0001054,-0.42735040506329,-1.50449356179775,-3.12986917821782
NA,NA,NA,NA,"tim54","yjl054w","ORF","334265-335701","+","X","yjl054w",0.37517741724138,0.364325278787878,0.297578986842105,0.392615078571429,-0.0304211229166669,-0.147331611111111,-0.312813119354839,0.222162092857143,0.0644061607594937,-0.0189968910112358,-0.19337450990099
NA,NA,NA,NA,"yfr056c","yfr056c","ORF","263957-264325","-","VI","yfr056c",0.192210193103447,0.166051945454546,0.139609510526315,0.0835441357142858,0.0739487312499998,0.0305055500000006,0.00158974838709679,-0.0363391600000002,-0.0252026810126582,-0.0244614977528085,-0.00265590297029767
NA,NA,NA,NA,"pmt2","yal023c","ORF","106272-108551","-","I","yal023c",-0.195651172413793,-0.329331696969694,-0.380624289473686,-0.783490714285714,-0.304477937499999,-0.152374666666667,0.179580419354838,-0.0711217428571424,0.141958848101265,0.353005730337078,0.665916009900991
NA,NA,NA,NA,"erc1","yhr032w","ORF","173344-175089","+","VIII","yhr032w",-0.335696496551725,-0.393496184848485,-0.352756310526315,-0.608547926190477,-0.00193969791666711,0.1280267,0.259751761290323,0.0665262385714282,-0.00924336962025268,-0.0602525910112357,-0.105093693069307
NA,NA,NA,NA,"mge1","yor232w","ORF","774573-775259","+","XV","yor232w",0.493934551724145,0.365662363636364,0.0868778157894736,0.2806119047619,-0.983659354166662,-1.61547651851852,-2.88086690322581,-0.826758857142855,-0.329531177215191,0.191613775280899,0.717870801980198
"rps11a",0,1,0,"rps11a","ydr025w","ORF","491515-492324","+","IV","ydr025w",2.08062068965523,-0.141575454545504,-0.787604210526249,-5.92648738095239,1.25654145833333,0.0407827777777398,-5.41637903225805,6.14760499999998,0.112138227848132,-3.50310460674157,-9.20696762376239
NA,NA,NA,NA,"ylr286w-a","ylr286w-a","ORF","708562-708696","+","XII","ylr286w-a",-11.9021234482758,-12.0021154545454,-10.3990263157895,-15.5390971428572,-1.28607083333335,2.99452111111114,10.5860108064516,-6.49180671428573,-3.91382455696203,-3.67347247191009,-1.82502386138615
NA,NA,NA,NA,"rfc4","yol094c","ORF","141584-142555","-","XV","yol094c",-0.0183829965517241,-0.0456827818181815,-0.0514384315789482,-0.145803778571428,0.00400194999999955,0.0622782055555557,0.185365719354839,0.00723703428571402,-0.0121824582278479,-0.0177598213483145,0.000191247524752369
NA,NA,NA,NA,"rsc2","ylr357w","ORF","841331-844000","+","XII","ylr357w",-0.0255853034482762,-0.0583343303030296,-0.0920468763157896,-0.129562266666667,-0.211072427083333,-0.180969133333333,-0.0668837225806451,0.0437082171428571,-0.0314311696202534,-0.0588493348314608,-0.119882614851485
NA,NA,NA,NA,"set4","yjl105w","ORF","225055-226737","+","X","yjl105w",-0.00482768068965511,-0.000111336363636351,0.00446486552631593,0.0156234673809522,0.00647968000000017,0.018403233148148,0.0434576119354839,0.0578805027142857,0.0599007434177215,0.0672483051685393,0.0717853054455446
NA,NA,NA,NA,"ylr256w-a","ylr256w-a","transposable_element_gene","651117-652439","+","XII","ylr256w-a",-0.0696894379310348,-0.0963029666666663,-0.104125964473684,-0.200507250476191,-0.0686364572916664,-0.0197493672222222,0.0742869183870967,0.00318517085714274,-0.0166522430379745,-0.0300776726966292,-0.0473447761386139
"rcy1",0,1,0,"rcy1","yjl204c","ORF","50629-53151","-","X","yjl204c",-0.0260414034482757,-0.0286713181818186,-0.0325253236842102,-0.0369637904761907,-0.0415654610416668,-0.0442715111111111,-0.0560465514516129,-0.0256493034285713,-0.0194293260759493,-0.0133793687640451,-0.0104179742574256
"tma19",0,1,0,"tma19","ykl056c","ORF","334412-334915","-","XI","ykl056c",4.89961862068961,4.98625848484842,6.44729184210531,5.51534857142856,14.8688052083333,9.95154851851852,-9.0179779032258,11.9319195714285,3.23976291139239,-3.70540438202246,-14.6089869306931
NA,NA,NA,NA,"prp42","ydr235w","ORF","933504-935138","+","IV","ydr235w",-0.0238398827586209,-0.0154372606060597,0.00527576578947338,0.0149270476190475,0.0465662291666669,0.112684933333333,0.26595079516129,0.22807616,0.0247453063291141,-0.125795335955056,-0.340101978217822
NA,NA,NA,NA,"cog3","yer157w","ORF","484788-487193","+","V","yer157w",-0.0404333379310347,-0.0652811999999998,-0.0662027184210526,-0.143669502380952,-0.00313557708333375,-0.00227702407407417,-0.036880138709677,-0.0272045742857147,0.0197635113924054,0.0623941707865167,0.127545102970297
NA,NA,NA,NA,"yol103w-b","yol103w-b","transposable_element_gene","118000-123268","+","XV","yol103w-b",-0.0286837296551724,-0.0272253154545455,-0.0235250828947368,-0.0259211145238095,-0.00875453229166665,0.00531705240740737,0.0331964675806452,-0.00176231042857143,-0.00294367037974683,-0.00375386382022471,-0.00244946534653467
NA,NA,NA,NA,"mcm1","ymr043w","ORF","353871-354731","+","XIII","ymr043w",-0.667082793103451,-0.673039090909091,-0.515264842105264,-0.883776619047618,0.282535916666668,0.606757592592591,1.27018119354839,-0.270444185714287,-0.513880518987342,-0.83839017977528,-1.09115803960396
NA,NA,NA,NA,"gab1","ylr459w","ORF","1057334-1058518","+","XII","ylr459w",0.132520182758621,0.161497293939394,0.153573555263158,0.319634257142856,0.00334253958333382,-0.130989987037037,-0.374371380645161,-0.0929535871428574,0.0120728873417722,0.0991080213483146,0.199871096039604
NA,NA,NA,NA,"leo1","yor123c","ORF","553176-554570","-","XV","yor123c",-0.251001582758619,-0.232526248484851,-0.248960702631577,-0.18451755952381,-0.309162624999999,-0.472350985185185,-1.07153116451613,-0.124991135714286,0.353810501265823,0.750384377528089,1.15049133564357
NA,NA,NA,NA,"ydl121c","ydl121c","ORF","245133-245582","-","IV","ydl121c",0.571681172413791,0.376310424242419,0.160718631578947,0.00324940476190926,-0.52641354166667,-0.532447333333331,-0.332418322580644,0.553102014285713,-0.233679101265821,-0.658121067415731,-1.33352501980198
"rpl12b",0,1,0,"rpl12b","ydr418w","ORF","1301616-1302113","+","IV","ydr418w",2.58376241379304,1.28285515151523,1.166302368421,-2.12376547619042,4.12459624999997,1.60370851851852,-6.99723693548388,3.81051942857143,-2.61940974683546,-7.46829370786512,-14.6153663366337
NA,NA,NA,NA,"ydr396w","ydr396w","ORF","1266295-1266795","+","IV","ydr396w",-0.0226654482758669,-0.0266715454545468,0.12571394736842,-0.089819404761904,0.8835115,0.769183055555558,0.418057629032257,-0.4036969,-0.259267987341771,-0.276318674157302,-0.0851689306930715
NA,NA,NA,NA,"sec1","ydr164c","ORF","782041-784215","-","IV","ydr164c",-0.128045093103448,-0.115341290909091,-0.0715068236842102,-0.0969942142857141,0.112091197916666,0.0977094814814818,0.046795077419355,-0.229323008571429,-0.117998672151899,-0.0749469966292134,0.0350389633663367
NA,NA,NA,NA,"vps69","ypr087w","ORF","711354-711674","+","XVI","ypr087w",0.744683586206898,0.819151363636362,0.730392842105265,1.02625609523809,0.1881300625,-0.0342502222222223,-0.394420322580646,0.226189857142858,0.37371587341772,0.498348764044944,0.582940287128714
"alg12",0,1,0,"alg12","ynr030w","ORF","678799-680454","+","XIV","ynr030w",-0.131749496551724,-0.145232545454545,-0.134213639473684,-0.213333171428572,-0.0527688520833336,0.0205341611111115,0.183498945161291,-0.0482644157142857,0.0109735746835444,0.0524340910112358,0.129090156435644
NA,NA,NA,NA,"ycf1","ydr135c","ORF","723004-727551","-","IV","ydr135c",-0.195267672413792,-0.205308860606061,-0.167434902631578,-0.262311102380953,0.0378708270833335,0.0907554129629628,0.144443041935484,-0.0430464157142855,-0.00941547974683533,0.00124840674157292,0.0399315663366336
NA,NA,NA,NA,"osh3","yhr073w","ORF","242582-245572","+","VIII","yhr073w",-0.220130503448275,-0.292713087878788,-0.326649455263158,-0.502606726190477,-0.34144669375,-0.252274675925926,-0.0770156306451612,0.00275792000000002,-0.0305075075949366,-0.0152932044943822,-0.0226600970297029
NA,NA,NA,NA,"mnt3","yil014w","ORF","326103-327995","+","IX","yil014w",0.142486527586206,0.15084753030303,0.124792923684211,0.219920011904762,-0.0454868874999999,-0.15351472037037,-0.32085125967742,-0.111868718571429,-0.129954163291139,-0.150345013483146,-0.19427544950495
"rpl21b",0,1,0,"rpl21b","ypl079w","ORF","406636-407539","+","XVI","ypl079w",1.69571034482762,-0.132796363636358,-0.390647368421086,-5.33164833333331,2.82281145833333,0.952182037037043,-5.56078967741938,2.42618228571431,-2.76184556962027,-6.70723426966292,-12.3183757425743
NA,NA,NA,NA,"rpc34","ynr003c","ORF","634344-635297","-","XIV","ynr003c",0.0221017482758622,-0.00217858181818241,0.0170869736842112,-0.0740750714285725,0.16876025,0.18336757037037,0.184377416129033,0.0538722614285711,-0.0384826696202529,-0.110665659550562,-0.169701034653466
NA,NA,NA,NA,"sdd2","ymr074c","ORF","413036-413473","-","XIII","ymr074c",0.75128175862069,0.798834121212117,0.6264025,1.02905773809524,-0.326120958333333,-0.552557629629628,-0.615836096774194,-0.401551771428572,-0.0868485569620248,0.178645853932584,0.514447940594059
"rps27a",0,0,1,"rps27a","ykl156w","ORF","158613-159212","+","XI","ykl156w",2.09731206896549,0.630025757575781,1.09989894736839,-4.05208166666663,6.832511875,8.48064148148144,10.791409516129,7.34935457142858,-3.78700101265823,-12.3878680898876,-23.105572970297
NA,NA,NA,NA,"ktr5","ynl029c","ORF","577205-578773","-","XIV","ynl029c",0.155538544827586,0.151208806060606,0.139053576315789,0.154737400000001,0.0797137020833327,0.0902601351851854,0.147463795161291,0.191977857142857,0.0389275721518988,-0.0602890561797752,-0.197343287128713
NA,NA,NA,NA,"ubp12","yjl197w","ORF","63805-67569","+","X","yjl197w",0.0627552448275863,0.050344733333333,0.0478473289473684,0.0303830095238095,0.0381568583333336,0.0339322111111109,0.0464278112903228,0.093254372857143,0.00754378987341743,-0.05118426741573,-0.131901954455446
NA,NA,NA,NA,"nup82","yjl061w","ORF","320016-322157","+","X","yjl061w",-0.118847282758621,-0.16948449090909,-0.18855527368421,-0.304330461904762,-0.17507973125,-0.134398407407407,-0.0608697322580646,-0.0375571371428569,-0.0188499240506328,0.024297617977528,0.0804554554455447
NA,NA,NA,NA,"psr1","yll010c","ORF","129330-130613","-","XII","yll010c",-0.295458937931035,-0.415193509090908,-0.47723087894737,-0.819920311904762,-0.452159193749999,-0.227877811111111,0.216942767741935,-0.0155220957142857,0.118630797468355,0.296589302247191,0.538771998019802
NA,NA,NA,NA,"alg7","ybr243c","ORF","705447-706793","-","II","ybr243c",0.233143151724138,0.268794760606061,0.258587036842106,0.41874989047619,0.0872516874999999,-0.0252197703703706,-0.21432064516129,0.132160451428571,0.0918772835443043,0.0638704955056176,-0.0113750009900993
NA,NA,NA,NA,"yil014c-a","yil014c-a","ORF","325212-325526","-","IX","yil014c-a",0.408687027586206,0.325590963636363,0.147815334210527,0.0856953071428584,-0.516186545833334,-0.444583535185185,-0.0155069919354836,0.131034838571429,0.132690298734177,0.220340129213483,0.28065647029703
NA,NA,NA,NA,"ynl181w","ynl181w","ORF","298335-299558","+","XIV","ynl181w",0.115618227586208,0.139670966666667,0.134395613157894,0.232042130952381,0.0602689854166671,-0.105547118518518,-0.510649814516129,-0.0996259100000003,0.21528186329114,0.458276093258426,0.75471391089109
NA,NA,NA,NA,"ncb2","ydr397c","ORF","1266366-1266898","-","IV","ydr397c",0.147032068965514,0.11527984848485,0.249656026315789,0.0157909523809489,0.942946687500002,0.778057074074075,0.427359838709678,-0.529419200000003,-0.260364949367088,-0.168803112359551,0.222524455445546
"apm1",0,0,1,"apm1","ypl259c","ORF","51244-52671","-","XVI","ypl259c",-0.155462741379309,-0.158602290909092,-0.144025218421052,-0.151177235714286,-0.103370310416667,0.000133961111110636,0.262103095161291,0.025178605714286,-0.105099481012658,-0.192034928089888,-0.290839468316832
NA,NA,NA,NA,"kae1","ykr038c","ORF","511999-513159","-","XI","ykr038c",0.549482410344828,0.546396821212121,0.455686107894739,0.671475278571429,-0.0692619291666692,-0.11340744074074,-0.0245276016129026,0.63717354,0.161540998734177,-0.100368237078652,-0.544233851485148
NA,NA,NA,NA,"lem3","ynl323w","ORF","31944-33188","+","XIV","ynl323w",0.0561768965517253,0.129696472727272,0.176367592105264,0.386031764285714,0.1963890875,0.0996889055555554,-0.111758345161291,0.000438522857143044,0.023731918987342,0.0211243112359547,0.0170427613861389
NA,NA,NA,NA,"rev1","yor346w","ORF","981828-984785","+","XV","yor346w",-0.0763336068965517,-0.0769950030303033,-0.062566421052632,-0.0835766285714281,0.00709853541666675,0.0235213537037039,-0.0169341387096779,0.1458635,0.130667269620253,0.131366202247191,0.102640252475248
NA,NA,NA,NA,"ioc4","ymr044w","ORF","355384-356811","+","XIII","ymr044w",-0.18373911724138,-0.141257406060606,-0.0946729657894744,0.0123524833333335,0.0393052812500002,-0.0525060259259258,-0.305162411290323,-0.417289341428571,-0.0680431696202533,0.176337557303371,0.553200339603961
NA,NA,NA,NA,"ypl088w","ypl088w","ORF","381965-382993","+","XVI","ypl088w",0.232073406896552,0.255585936363637,0.26829024736842,0.426419504761905,0.189525562500001,0.14549123888889,0.046588253225806,0.589651624285714,0.184934017721519,-0.0644640539325847,-0.458279100990099
NA,NA,NA,NA,"tfa1","ykl028w","ORF","385758-387206","+","XI","ykl028w",0.0356638172413794,-0.0198612030303025,-0.110524547368421,-0.0895555333333337,-0.438361602083333,-0.538620505555554,-0.710835804838711,-0.202703741428572,-0.0102708898734169,0.214046615730336,0.468220705940594
NA,NA,NA,NA,"ycr090c","ycr090c","ORF","272315-272863","-","III","ycr090c",0.234110072413794,0.263324487878788,0.271263128947368,0.413087635714286,0.2070913125,-0.019427055555557,-0.573573662903226,0.104466801428572,0.207285040506329,0.288728625842696,0.342026793069307
NA,NA,NA,NA,"yfl031c-a","yfl031c-a","ORF","76014-76115","-","VI","yfl031c-a",0.811619724137931,1.03241854545455,1.08900394736842,0.861902428571419,1.24996608333333,1.14886814814815,1.65029770967743,-2.62916932857143,0.623491265822781,2.56383675280898,5.73041377227723
NA,NA,NA,NA,"ydl094c","ydl094c","ORF","289572-290081","-","IV","ydl094c",0.0765013596551722,0.0840042857575758,0.0782658526315788,0.118325966666667,0.0260275041666665,3.58462962963741e-05,-0.0438558838709678,0.0580087928571429,0.0369274708860759,0.0256647471910113,-0.00105473168316831
NA,NA,NA,NA,"nup84","ydl116w","ORF","251566-253746","+","IV","ydl116w",-0.0757260758620688,-0.107582081818182,-0.123487242105263,-0.183454026190476,-0.136384447916667,-0.132951359259259,-0.122707840322581,-0.114201388571429,-0.0309725898734179,0.0502310303370786,0.164555392079208
NA,NA,NA,NA,"ypr084w","ypr084w","ORF","706972-708342","+","XVI","ypr084w",0.0248139482758617,0.0381180060606061,0.0401627078947367,0.101546238095238,-0.0246138437500002,0.0193256296296294,0.181809730645161,0.0989422457142857,0.0698201468354434,0.064891908988764,0.0595533386138613
NA,NA,NA,NA,"ste4","yor212w","ORF","742910-744181","+","XV","yor212w",-0.808751468965518,-0.930860800000001,-0.948953984210526,-1.27372488809524,-0.8038526875,-0.415058714814815,0.313179874193547,0.218995711428572,-0.028240188607595,-0.0925320022471916,-0.233757721782177
NA,NA,NA,NA,"lsm1","yjl124c","ORF","187126-187644","-","X","yjl124c",0.277604137931031,0.327523303030305,0.225814657894739,0.682884952380951,-0.372624520833333,-0.778837129629632,-1.73778082258065,-0.186240514285714,0.150956810126582,0.522417831460676,0.866221514851485
NA,NA,NA,NA,"fol3","ymr113w","ORF","494999-496282","+","XIII","ymr113w",0.0658669620689658,0.0730421575757575,0.0725743500000002,0.100442838095238,0.0226592854166663,-0.0264203555555554,-0.087387693548387,-0.034762377142857,0.0721715139240506,0.144921017977528,0.240167861386139
NA,NA,NA,NA,"ret2","yfr051c","ORF","250163-251803","-","VI","yfr051c",-0.45427695862069,-0.453304609090906,-0.338505076315792,-0.458377273809523,0.0833133333333347,0.403089803703704,1.12759301774193,0.314659282857144,-0.0471716164556955,-0.324395319101123,-0.625120163366338
"nmt1",0,1,0,"nmt1","ylr195c","ORF","541937-543304","-","XII","ylr195c",-0.31616845862069,-0.398724878787877,-0.378687355263158,-0.709944347619048,-0.0661267937500002,0.118419703703703,0.430088590322582,0.0120131757142862,-0.0348780265822786,-0.063341305617978,-0.0557343425742576
NA,NA,NA,NA,"fpr1","ynl135c","ORF","371882-372226","-","XIV","ynl135c",0.978978724137921,1.45341169696969,0.583667657894759,2.85461904761903,-4.39894683333333,-5.66974824074074,-7.52720908064516,-2.84100955714286,3.33000708860759,8.37841693258427,14.3245555940594
NA,NA,NA,NA,"oxa1","yer154w","ORF","475020-476228","+","V","yer154w",0.117411051724136,0.107364663636363,0.077523010526316,0.121638733333334,-0.0749187729166663,-0.233650190740741,-0.485058274193549,-0.359178152857143,0.0208477987341778,0.312567853932584,0.728579624752475
NA,NA,NA,NA,"cpt1","ynl130c","ORF","379558-380831","-","XIV","ynl130c",-0.0650991275862098,-0.0499870060606051,-0.0906776210526323,0.0839343452380957,-0.4047024,-0.338451212962962,-0.0231677838709674,-0.0174407757142855,-0.148604769620254,-0.197569829213482,-0.28736598019802
NA,NA,NA,NA,"mrpl23","yor150w","ORF","611999-612490","+","XV","yor150w",-0.40460635862069,-0.312824190909093,-0.221731860526314,-0.0382719071428588,0.0493368041666672,0.102951251851853,-0.0686888467741952,0.274121401428571,0.0691382683544308,-0.0749879303370784,-0.344123063366337
NA,NA,NA,NA,"erg8","ymr220w","ORF","712316-713671","+","XIII","ymr220w",-0.237122751724136,-0.264507339393939,-0.185180578947368,-0.409859464285714,0.242068125,0.445344438888888,0.746943193548388,0.465918497142857,0.338986488607595,0.258396071910112,0.170546028712871
NA,NA,NA,NA,"ynl054w-b","ynl054w-b","transposable_element_gene","519456-524706","+","XIV","ynl054w-b",-0.0499589172413795,-0.0570965999999998,-0.0610136552631583,-0.0812001309523807,-0.0671829916666666,-0.0429106907407407,0.0245181612903224,-0.0275548599999999,-0.0780109848101267,-0.118268057191011,-0.171340274455446
