"Common_Name","pro","anti","fitness","Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","ORF","T1","T2"
NA,NA,NA,NA,"vtc4","yjl012c","ORF","411234-413399","-","X","yjl012c",-38.2655651049601,7.90930691505818
NA,NA,NA,NA,"ynl058c","ynl058c","ORF","515763-516713","-","XIV","ynl058c",-38.2175893237738,52.3277609961816
NA,NA,NA,NA,"pis1","ypr113w","ORF","752257-752919","+","XVI","ypr113w",-38.1698265410623,99.8240833228639
"cyc2",0,0,1,"cyc2","yor037w","ORF","401555-402655","+","XV","yor037w",-38.0593629625453,61.5060588253497
NA,NA,NA,NA,"yar030c","yar030c","ORF","186512-186853","-","I","yar030c",-37.89527079423,42.9702805802154
NA,NA,NA,NA,"mrm1","yor201c","ORF","720470-721708","-","XV","yor201c",-37.8906596337702,18.3603694193363
NA,NA,NA,NA,"tmc1","yor052c","ORF","426772-427224","-","XV","yor052c",-37.8856793412392,351.029854145728
NA,NA,NA,NA,"ykr040c","ykr040c","ORF","518063-518566","-","XI","ykr040c",-37.8228481554424,42.3333023761856
NA,NA,NA,NA,"ste13","yor219c","ORF","752214-755009","-","XV","yor219c",-37.7950933400706,51.9271807341074
NA,NA,NA,NA,"atx2","yor079c","ORF","473475-474416","-","XV","yor079c",-37.7197287814859,27.071717934077
NA,NA,NA,NA,"sut2","ypr009w","ORF","576552-577358","+","XVI","ypr009w",-37.6651923981769,38.3707031059485
NA,NA,NA,NA,"atc1","ydr184c","ORF","830629-831513","-","IV","ydr184c",-37.5547070096275,-56.8509902422238
NA,NA,NA,NA,"rpc25","ykl144c","ORF","175843-176481","-","XI","ykl144c",-37.4906864904359,20.9075546270297
NA,NA,NA,NA,"erp2","yal007c","ORF","137698-138345","-","I","yal007c",-37.4136750170294,58.1569068893916
NA,NA,NA,NA,"srb2","yhr041c","ORF","189131-189864","-","VIII","yhr041c",-37.1549898159393,54.1422142281317
NA,NA,NA,NA,"pre3","yjl001w","ORF","435163-435926","+","X","yjl001w",-37.1173551185376,113.343359010511
NA,NA,NA,NA,"dst1","ygl043w","ORF","417483-418412","+","VII","ygl043w",-37.1015225809435,22.0192237297701
NA,NA,NA,NA,"yor218c","yor218c","ORF","751476-751895","-","XV","yor218c",-37.0882956852095,33.2073650017134
"mrpl4",0,0.5,0.5,"mrpl4","ylr439w","ORF","1014491-1015450","+","XII","ylr439w",-37.0824235555156,50.6415799436821
NA,NA,NA,NA,"ylr428c","ylr428c","ORF","990617-990961","-","XII","ylr428c",-36.9861873204084,27.1423783507472
NA,NA,NA,NA,"sam50","ynl026w","ORF","581920-583374","+","XIV","ynl026w",-36.7214959326168,40.0303797470422
NA,NA,NA,NA,"cab1","ydr531w","ORF","1498232-1499335","+","IV","ydr531w",-36.6899945105719,39.9277512109314
NA,NA,NA,NA,"est3","yil009c-a","ORF","335666-336212","-","IX","yil009c-a",-36.685888912197,44.9953370945521
NA,NA,NA,NA,"tae1","ybr261c","ORF","734832-735530","-","II","ybr261c",-36.5958000442168,47.2138394161838
"erg5",0,0,1,"erg5","ymr015c","ORF","300869-302485","-","XIII","ymr015c",-36.5913075832835,16.4253994118526
NA,NA,NA,NA,"rib2","yol066c","ORF","202696-204471","-","XV","yol066c",-36.4947617464148,36.6006349153394
NA,NA,NA,NA,"asm4","ydl088c","ORF","298417-300003","-","IV","ydl088c",-36.435965251462,47.7747443035292
NA,NA,NA,NA,"pdp3","ylr455w","ORF","1053629-1054543","+","XII","ylr455w",-36.39936793487,30.6137600098012
NA,NA,NA,NA,"yal016c-a","yal016c-a","ORF","124755-125069","-","I","yal016c-a",-36.3531208598805,73.580508436574
NA,NA,NA,NA,"yor225w","yor225w","ORF","761392-761721","+","XV","yor225w",-36.3337340088564,34.9570905794609
NA,NA,NA,NA,"mlf3","ynl074c","ORF","486766-488124","-","XIV","ynl074c",-36.290773169057,62.8615785283662
NA,NA,NA,NA,"his2","yfr025c","ORF","203743-204750","-","VI","yfr025c",-36.2774111810163,49.8826497401874
NA,NA,NA,NA,"ygl006w-a","ygl006w-a","ORF","485423-485533","+","VII","ygl006w-a",-36.2081348793383,31.0622433797352
NA,NA,NA,NA,"pga1","ynl158w","ORF","339612-340208","+","XIV","ynl158w",-36.1219785850249,40.9551033574827
NA,NA,NA,NA,"yor015w","yor015w","ORF","359993-360352","+","XV","yor015w",-36.0967536438921,89.7934204903127
NA,NA,NA,NA,"psr2","ylr019w","ORF","180288-181481","+","XII","ylr019w",-36.0950281463114,67.3109467300703
NA,NA,NA,NA,"gln4","yor168w","ORF","649303-651732","+","XV","yor168w",-36.0927944563786,-38.2072346385049
"syh1",0,0,1,"syh1","ypl105c","ORF","352863-355412","-","XVI","ypl105c",-36.0263128691432,12.4145263128005
NA,NA,NA,NA,"ymr141w-a","ymr141w-a","ORF","550911-551135","+","XIII","ymr141w-a",-35.8339851024738,-57.1211938638604
NA,NA,NA,NA,"axl2","yil140w","ORF","85366-87837","+","IX","yil140w",-35.6831290393029,35.8075571696688
NA,NA,NA,NA,"yfl032w","yfl032w","ORF","74872-75192","+","VI","yfl032w",-35.6426012573555,90.4306390662403
NA,NA,NA,NA,"yir023c-a","yir023c-a","ORF","402383-402706","-","IX","yir023c-a",-35.6405814141585,65.7923786894352
"twf1",0,0,1,"twf1","ygr080w","ORF","642010-643008","+","VII","ygr080w",-35.6058471487895,57.3293771730497
NA,NA,NA,NA,"crp1","yhr146w","ORF","390300-391697","+","VIII","yhr146w",-35.5369712688469,87.5314364978826
NA,NA,NA,NA,"kre29","yer038c","ORF","226858-228252","-","V","yer038c",-35.5125541900832,36.4955321243722
NA,NA,NA,NA,"bmt6","ylr063w","ORF","264157-265254","+","XII","ylr063w",-35.5031690266486,31.5220058182554
NA,NA,NA,NA,"ymr075c-a","ymr075c-a","ORF","415688-416053","-","XIII","ymr075c-a",-35.4406712330946,30.2825164735616
NA,NA,NA,NA,"msa1","yor066w","ORF","449436-451325","+","XV","yor066w",-35.3071183568558,32.1601158631944
NA,NA,NA,NA,"gpi18","ybr004c","ORF","244366-245667","-","II","ybr004c",-35.2360721697951,16.6846113537837
NA,NA,NA,NA,"ycr041w","ycr041w","ORF","200911-201243","+","III","ycr041w",-35.2319118582415,32.7016956120282
NA,NA,NA,NA,"cbp1","yjl209w","ORF","38005-39969","+","X","yjl209w",-35.2244294915967,30.6732217475112
NA,NA,NA,NA,"abf1","ykl112w","ORF","226570-228765","+","XI","ykl112w",-35.1560495549797,55.234874688522
NA,NA,NA,NA,"yol050c","yol050c","ORF","237882-238202","-","XV","yol050c",-35.0253694064718,65.5227745110341
NA,NA,NA,NA,"ydr169c-a","ydr169c-a","ORF","794574-794723","-","IV","ydr169c-a",-35.0133209146161,37.4309317171754
NA,NA,NA,NA,"ent5","ydr153c","ORF","766736-767971","-","IV","ydr153c",-34.9125951968745,26.0158658866085
"ycr050c",0,0,1,"ycr050c","ycr050c","ORF","213464-213772","-","III","ycr050c",-34.870532337805,45.3838684663163
NA,NA,NA,NA,"pro2","yor323c","ORF","921535-922905","-","XV","yor323c",-34.8466266454876,46.1575694887764
"sfl1",0,1,0,"sfl1","yor140w","ORF","586981-589281","+","XV","yor140w",-34.8157479235269,40.7894105429105
"hat2",0,0,0,"hat2","yel056w","ORF","47168-48373","+","V","yel056w",-34.7775667497761,52.6281808099537
NA,NA,NA,NA,"ygr018c","ygr018c","ORF","524365-524694","-","VII","ygr018c",-34.6759850329182,21.5336056749427
NA,NA,NA,NA,"hom6","yjr139c","ORF","689445-690524","-","X","yjr139c",-34.6213662072216,-12.5262612257629
NA,NA,NA,NA,"met8","ybr213w","ORF","650368-651192","+","II","ybr213w",-34.6149226954964,9.76069985764133
"vps5",0,1,0,"vps5","yor069w","ORF","453768-455795","+","XV","yor069w",-34.5010976672068,41.4417761919972
NA,NA,NA,NA,"yml009w-b","yml009w-b","ORF","250435-250911","+","XIII","yml009w-b",-34.4353096930456,12.4132092301478
NA,NA,NA,NA,"pup2","ygr253c","ORF","998358-999140","-","VII","ygr253c",-34.4345944501123,55.7325287318397
"aro7",0,0,1,"aro7","ypr060c","ORF","674861-675631","-","XVI","ypr060c",-34.3362226511037,-1.9592966886375
NA,NA,NA,NA,"alg6","yor002w","ORF","329417-331051","+","XV","yor002w",-34.2643071168344,34.0636571965593
NA,NA,NA,NA,"chc1","ygl206c","ORF","102543-107504","-","VII","ygl206c",-34.2508973810357,47.1931389704145
NA,NA,NA,NA,"ntc20","ybr188c","ORF","603685-604107","-","II","ybr188c",-34.2449259169249,25.5796995627647
NA,NA,NA,NA,"vma10","yhr039c-a","ORF","187173-187679","-","VIII","yhr039c-a",-34.0145469454803,20.2076194257262
NA,NA,NA,NA,"icp55","yer078c","ORF","316807-318342","-","V","yer078c",-33.9952982706853,23.0580217382649
NA,NA,NA,NA,"art5","ygr068c","ORF","625324-627084","-","VII","ygr068c",-33.9858973138682,35.4348208289415
"nma111",1,0,0,"nma111","ynl123w","ORF","394685-397678","+","XIV","ynl123w",-33.9368024289053,18.1801191336761
NA,NA,NA,NA,"ioc2","ylr095c","ORF","329677-332115","-","XII","ylr095c",-33.9273453478234,38.9541791005324
NA,NA,NA,NA,"ask10","ygr097w","ORF","678695-682135","+","VII","ygr097w",-33.8211451481214,43.7780929100168
NA,NA,NA,NA,"yer134c","yer134c","ORF","437267-437803","-","V","yer134c",-33.8096386806146,67.0066965575473
NA,NA,NA,NA,"exg2","ydr261c","ORF","977521-979209","-","IV","ydr261c",-33.7675375631917,45.160014727015
NA,NA,NA,NA,"yvc1","yor087w","ORF","487707-489734","+","XV","yor087w",-33.7078800130288,34.0198802874956
NA,NA,NA,NA,"efm3","yjr129c","ORF","664000-665019","-","X","yjr129c",-33.5884225996962,28.2402039225836
NA,NA,NA,NA,"rap1","ynl216w","ORF","241689-244172","+","XIV","ynl216w",-33.5584751873141,20.850874497946
NA,NA,NA,NA,"pan1","yir006c","ORF","365466-369908","-","IX","yir006c",-33.5245828419033,46.2041908577161
NA,NA,NA,NA,"mgl2","ymr210w","ORF","687516-688865","+","XIII","ymr210w",-33.5190393388307,54.7182642613791
NA,NA,NA,NA,"gal11","yol051w","ORF","234940-238185","+","XV","yol051w",-33.4094804181827,49.3282226233684
"vps27",0,0,1,"vps27","ynr006w","ORF","636986-638854","+","XIV","ynr006w",-33.371797265115,50.6118973505259
NA,NA,NA,NA,"ncp1","yhr042w","ORF","190543-192618","+","VIII","yhr042w",-33.3062142396432,35.8161359765191
NA,NA,NA,NA,"ltv1","ykl143w","ORF","176781-178172","+","XI","ykl143w",-33.1814250961139,-35.1319689983222
NA,NA,NA,NA,"ksp1","yhr082c","ORF","268459-271548","-","VIII","yhr082c",-33.1701682369142,54.7901862091336
NA,NA,NA,NA,"cdc73","ylr418c","ORF","956914-958095","-","XII","ylr418c",-33.1234586580317,24.4749251527712
NA,NA,NA,NA,"pus4","ynl292w","ORF","82806-84017","+","XIV","ynl292w",-33.0774040844515,14.282230693982
NA,NA,NA,NA,"ssu72","ynl222w","ORF","229094-229714","+","XIV","ynl222w",-33.0578583489796,37.0290182060005
NA,NA,NA,NA,"yel045c","yel045c","ORF","68840-69265","-","V","yel045c",-33.0161838930378,14.288291366123
NA,NA,NA,NA,"dus4","ylr405w","ORF","929789-930892","+","XII","ylr405w",-32.9110080315197,19.800678657321
NA,NA,NA,NA,"pgm1","ykl127w","ORF","203541-205253","+","XI","ykl127w",-32.9048195377066,40.8705527797306
NA,NA,NA,NA,"nit2","yjl126w","ORF","184501-185424","+","X","yjl126w",-32.8478544906662,26.27917149266
NA,NA,NA,NA,"arg5,6","yer069w","ORF","295410-298001","+","V","yer069w",-32.836100647971,18.9452957151781
NA,NA,NA,NA,"trm82","ydr165w","ORF","784871-786205","+","IV","ydr165w",-32.8067477010324,11.3987130146343
NA,NA,NA,NA,"rxt3","ydl076c","ORF","320668-321552","-","IV","ydl076c",-32.7056976958121,51.9676210289857
"tif4632",0,1,0,"tif4632","ygl049c","ORF","406860-409604","-","VII","ygl049c",-32.6863972934665,41.7072731535608
NA,NA,NA,NA,"rpo21","ydl140c","ORF","205360-210561","-","IV","ydl140c",-32.5925332931877,33.7055077226535
NA,NA,NA,NA,"tcp1","ydr212w","ORF","887232-888911","+","IV","ydr212w",-32.5889900149427,29.9627808352939
NA,NA,NA,NA,"cog1","ygl223c","ORF","79112-80365","-","VII","ygl223c",-32.5560376387312,30.3358542339933
NA,NA,NA,NA,"sft2","ybl102w","ORF","24098-24745","+","II","ybl102w",-32.5172302958317,115.534469446998
NA,NA,NA,NA,"cct8","yjl008c","ORF","419957-421663","-","X","yjl008c",-32.471436594257,5.41042272033504
NA,NA,NA,NA,"lcb2","ydr062w","ORF","576474-578159","+","IV","ydr062w",-32.4502521073354,39.7830484547993
NA,NA,NA,NA,"rpb7","ydr404c","ORF","1276654-1277169","-","IV","ydr404c",-32.4221737544756,86.4795795135915
NA,NA,NA,NA,"sap155","yfr040w","ORF","234242-237250","+","VI","yfr040w",-32.346279534637,69.5462441188844
NA,NA,NA,NA,"pph22","ydl188c","ORF","123865-124998","-","IV","ydl188c",-32.3145089225037,58.2511421851991
NA,NA,NA,NA,"rad16","ybr114w","ORF","467248-469620","+","II","ybr114w",-32.1796101925606,46.416684660011
NA,NA,NA,NA,"mrp4","yhl004w","ORF","99219-100403","+","VIII","yhl004w",-32.1553112213275,16.2369073372365
NA,NA,NA,NA,"yhl019w-a","yhl019w-a","ORF","67711-68304","+","VIII","yhl019w-a",-32.1372313057106,72.1058074644147
NA,NA,NA,NA,"thi3","ydl080c","ORF","310642-312471","-","IV","ydl080c",-32.0756394606032,27.9199670154968
NA,NA,NA,NA,"she3","ybr130c","ORF","495592-496869","-","II","ybr130c",-31.9716400663899,24.3953138917166
NA,NA,NA,NA,"cmr3","ypr013c","ORF","584632-585585","-","XVI","ypr013c",-31.9674570255138,48.270055065934
NA,NA,NA,NA,"gis4","yml006c","ORF","256092-258416","-","XIII","yml006c",-31.8864098463008,42.2539274199488
NA,NA,NA,NA,"myo4","yal029c","ORF","87855-92270","-","I","yal029c",-31.8789079329325,26.4228390435029
NA,NA,NA,NA,"msr1","yhr091c","ORF","284839-286770","-","VIII","yhr091c",-31.8254155919334,31.0686716631298
NA,NA,NA,NA,"aca1","yer045c","ORF","240032-241501","-","V","yer045c",-31.7988868681524,32.2696682669335
"ard1",0,0,1,"ard1","yhr013c","ORF","130730-131446","-","VIII","yhr013c",-31.647994616499,3.8791887294833
NA,NA,NA,NA,"mnn1","yer001w","ORF","153520-155808","+","V","yer001w",-31.6096936142623,36.9011010217013
NA,NA,NA,NA,"hap1","ylr256w","ORF","646415-650923","+","XII","ylr256w",-31.6002786044145,50.1397293068234
NA,NA,NA,NA,"ynl284c-a","ynl284c-a","transposable_element_gene","100910-102232","-","XIV","ynl284c-a",-31.5715873201317,23.1434081628087
NA,NA,NA,NA,"mlc1","ygl106w","ORF","306560-307009","+","VII","ygl106w",-31.4305525095349,17.552752167029
NA,NA,NA,NA,"yta6","ypl074w","ORF","415763-418027","+","XVI","ypl074w",-31.4156261135108,34.8343981239279
"rpl20b",0,1,0,"rpl20b","yor312c","ORF","900250-901194","-","XV","yor312c",-31.3819952813895,-624.54326985127
NA,NA,NA,NA,"cdc55","ygl190c","ORF","145809-147389","-","VII","ygl190c",-31.363079702291,56.8558012585084
NA,NA,NA,NA,"ybr109w-a","ybr109w-a","ORF","458608-458832","+","II","ybr109w-a",-31.2828903569155,37.5962351423711
NA,NA,NA,NA,"ela1","ynl230c","ORF","217523-218662","-","XIV","ynl230c",-31.2698071146257,35.464338273001
NA,NA,NA,NA,"cop1","ydl145c","ORF","194571-198176","-","IV","ydl145c",-31.2575088857546,22.6602243341462
NA,NA,NA,NA,"trs65","ygr166w","ORF","830515-832197","+","VII","ygr166w",-31.2279875567873,25.364706560551
NA,NA,NA,NA,"ynl198c","ynl198c","ORF","266514-266816","-","XIV","ynl198c",-31.2192344436115,28.5230106271438
NA,NA,NA,NA,"srb7","ydr308c","ORF","1078027-1078449","-","IV","ydr308c",-31.188061190295,22.0640766762347
NA,NA,NA,NA,"gpm3","yol056w","ORF","223268-224179","+","XV","yol056w",-31.1158828948402,45.9889578286355
NA,NA,NA,NA,"ypr170w-a","ypr170w-a","ORF","883378-883563","+","XVI","ypr170w-a",-31.1092026795006,71.948042500258
NA,NA,NA,NA,"tgl1","ykl140w","ORF","180779-182425","+","XI","ykl140w",-31.0761044573793,54.4241016894808
NA,NA,NA,NA,"duf1","yol087c","ORF","155287-158637","-","XV","yol087c",-31.0713347335234,37.1334299490334
NA,NA,NA,NA,"ect1","ygr007w","ORF","506969-507940","+","VII","ygr007w",-31.0408835007731,18.159129319023
NA,NA,NA,NA,"hem1","ydr232w","ORF","927452-929098","+","IV","ydr232w",-31.0065169132992,3.70927762790655
NA,NA,NA,NA,"yhr022c","yhr022c","ORF","149575-150345","-","VIII","yhr022c",-30.9884537995651,31.0572772365739
NA,NA,NA,NA,"nup116","ymr047c","ORF","363364-366705","-","XIII","ymr047c",-30.9829608735331,39.212343614834
NA,NA,NA,NA,"ygr017w","ygr017w","ORF","523787-524680","+","VII","ygr017w",-30.978158536514,14.1400587129792
NA,NA,NA,NA,"swa2","ydr320c","ORF","1106095-1108101","-","IV","ydr320c",-30.869053005912,31.6380039467488
NA,NA,NA,NA,"sly1","ydr189w","ORF","838392-840392","+","IV","ydr189w",-30.8626032035378,45.0540442757346
NA,NA,NA,NA,"sls1","ylr139c","ORF","421542-423473","-","XII","ylr139c",-30.8075687174373,28.8767994467036
NA,NA,NA,NA,"kap95","ylr347c","ORF","823828-826413","-","XII","ylr347c",-30.7823060023397,36.5665258241411
NA,NA,NA,NA,"chs5","ylr330w","ORF","787664-789679","+","XII","ylr330w",-30.7682363112946,91.0380782227423
NA,NA,NA,NA,"nif3","ygl221c","ORF","81426-82292","-","VII","ygl221c",-30.7442385488362,11.1366786693121
NA,NA,NA,NA,"pop1","ynl221c","ORF","231068-233695","-","XIV","ynl221c",-30.7043211584878,17.722230985055
NA,NA,NA,NA,"mam3","yol060c","ORF","214017-216137","-","XV","yol060c",-30.6465416861072,69.9628674909956
NA,NA,NA,NA,"ant1","ypr128c","ORF","791218-792204","-","XVI","ypr128c",-30.6459456365865,29.8171956544259
NA,NA,NA,NA,"arp5","ynl059c","ORF","512668-514935","-","XIV","ynl059c",-30.5904439185846,24.5255590654175
NA,NA,NA,NA,"vnx1","ynl321w","ORF","34696-37422","+","XIV","ynl321w",-30.5670313594935,41.2924815826405
NA,NA,NA,NA,"cet1","ypl228w","ORF","118382-120031","+","XVI","ypl228w",-30.4354645664509,29.5008035400059
NA,NA,NA,NA,"cwc25","ynl245c","ORF","186346-186885","-","XIV","ynl245c",-30.41653572301,30.6619420990275
NA,NA,NA,NA,"yor161c-c","yor161c-c","ORF","639121-639267","-","XV","yor161c-c",-30.3250048214434,47.5584948257014
NA,NA,NA,NA,"nop19","ygr251w","ORF","995639-996229","+","VII","ygr251w",-30.2872421903684,1.60033040218673
NA,NA,NA,NA,"sst2","ylr452c","ORF","1039270-1041366","-","XII","ylr452c",-30.2318464566809,28.6599621021652
NA,NA,NA,NA,"ntf2","yer009w","ORF","172115-172492","+","V","yer009w",-30.2002149785464,-110.73782205767
NA,NA,NA,NA,"rsc1","ygr056w","ORF","601661-604447","+","VII","ygr056w",-30.1390539866084,29.3892466930135
NA,NA,NA,NA,"rad17","yor368w","ORF","1026843-1028048","+","XV","yor368w",-30.0978652739966,18.6950385883675
NA,NA,NA,NA,"hkr1","ydr420w","ORF","1306267-1311675","+","IV","ydr420w",-30.0637143471679,25.452688135094
NA,NA,NA,NA,"cbk1","ynl161w","ORF","332597-334867","+","XIV","ynl161w",-29.970227447846,30.7279745987413
NA,NA,NA,NA,"nam7","ymr080c","ORF","426712-429627","-","XIII","ymr080c",-29.9191491946834,25.3827416620301
NA,NA,NA,NA,"opt1","yjl212c","ORF","33850-36249","-","X","yjl212c",-29.878959727122,28.2490495084358
NA,NA,NA,NA,"ree1","yjl217w","ORF","23133-23729","+","X","yjl217w",-29.8130425130447,76.8274076143748
NA,NA,NA,NA,"ret3","ypl010w","ORF","535018-535587","+","XVI","ypl010w",-29.8039378069069,41.5090963322806
NA,NA,NA,NA,"ygr117c","ygr117c","ORF","725049-726479","-","VII","ygr117c",-29.7212877704429,27.3255762284474
NA,NA,NA,NA,"tpd3","yal016w","ORF","124879-126786","+","I","yal016w",-29.6715353161191,69.9573596168656
NA,NA,NA,NA,"rax1","yor301w","ORF","880965-882272","+","XV","yor301w",-29.6703249155679,26.7264073166716
NA,NA,NA,NA,"mzm1","ydr493w","ORF","1436217-1436588","+","IV","ydr493w",-29.6085907392825,46.9539265277869
NA,NA,NA,NA,"nup57","ygr119c","ORF","728046-729671","-","VII","ygr119c",-29.6005334076512,26.7589452647785
NA,NA,NA,NA,"ygr151c","ygr151c","ORF","794655-794990","-","VII","ygr151c",-29.5748166309144,-19.4772354168455
NA,NA,NA,NA,"ylr407w","ylr407w","ORF","932967-933653","+","XII","ylr407w",-29.5141076069763,17.8286142542508
NA,NA,NA,NA,"mrs6","yor370c","ORF","1029183-1030994","-","XV","yor370c",-29.4863877872129,1.28791829520133
NA,NA,NA,NA,"yir020c-b","yir020c-b","ORF","397215-397949","-","IX","yir020c-b",-29.4642645726753,27.5929365213715
NA,NA,NA,NA,"rkm5","ylr137w","ORF","417006-418109","+","XII","ylr137w",-29.4333697935431,27.1266253576998
"ada2",0,0,1,"ada2","ydr448w","ORF","1356065-1357369","+","IV","ydr448w",-29.3859281228956,19.4499070302727
"cka2",0,1,0,"cka2","yor061w","ORF","441534-442553","+","XV","yor061w",-29.3661091947028,1.33767084253927
NA,NA,NA,NA,"swp1","ymr149w","ORF","560996-561856","+","XIII","ymr149w",-29.3225008537153,5.39120986867326
"hcm1",1,0,0,"hcm1","ycr065w","ORF","229310-231004","+","III","ycr065w",-29.3187203567946,26.6392366164322
NA,NA,NA,NA,"nut1","ygl151w","ORF","217524-220922","+","VII","ygl151w",-29.2971216096029,33.8105559145586
NA,NA,NA,NA,"prp46","ypl151c","ORF","266180-267535","-","XVI","ypl151c",-29.2862064311311,53.8496417767395
NA,NA,NA,NA,"plb1","ymr008c","ORF","280590-282584","-","XIII","ymr008c",-29.2222114428125,68.2951220839475
NA,NA,NA,NA,"cln1","ymr199w","ORF","662644-664284","+","XIII","ymr199w",-29.1777983154647,39.9621588758414
NA,NA,NA,NA,"mrl1","ypr079w","ORF","698869-700014","+","XVI","ypr079w",-29.1776374492688,42.4855499877484
NA,NA,NA,NA,"env9","yor246c","ORF","795801-796793","-","XV","yor246c",-29.1376164107492,-7.49366350463365
NA,NA,NA,NA,"bud17","ynr027w","ORF","674923-675876","+","XIV","ynr027w",-29.1277499564252,40.2031577010902
NA,NA,NA,NA,"rpn2","yil075c","ORF","217863-220700","-","IX","yil075c",-29.0908813452391,73.1015787959898
NA,NA,NA,NA,"trm5","yhr070w","ORF","234881-236380","+","VIII","yhr070w",-29.0872641801237,0.782411023606904
NA,NA,NA,NA,"ygl072c","ygl072c","ORF","371003-371362","-","VII","ygl072c",-29.0853621514591,68.1641546513839
NA,NA,NA,NA,"yfl013w-a","yfl013w-a","ORF","107799-108602","+","VI","yfl013w-a",-29.0696100413481,22.5815078967273
NA,NA,NA,NA,"ecm12","yhr021w-a","ORF","149225-149680","+","VIII","yhr021w-a",-29.058485165666,28.6250977884856
NA,NA,NA,NA,"smf1","yol122c","ORF","89692-91419","-","XV","yol122c",-28.6517743392364,42.2802231206199
"vac8",0,0,1,"vac8","yel013w","ORF","128825-130561","+","V","yel013w",-28.635220529915,61.6867825013261
NA,NA,NA,NA,"ent4","yll038c","ORF","65775-66518","-","XII","yll038c",-28.6217736373277,21.4634182191766
NA,NA,NA,NA,"ygl188c-a","ygl188c-a","ORF","148824-148964","-","VII","ygl188c-a",-28.6151985429971,-49.9248797283639
NA,NA,NA,NA,"rai1","ygl246c","ORF","37617-38780","-","VII","ygl246c",-28.5944294381501,4.99188753424889
NA,NA,NA,NA,"ypd1","ydl235c","ORF","33415-33918","-","IV","ydl235c",-28.5789395740307,18.5387038821063
NA,NA,NA,NA,"tda3","yhr009c","ORF","124109-125680","-","VIII","yhr009c",-28.549386687972,54.4348780143191
NA,NA,NA,NA,"gcn20","yfr009w","ORF","162488-164746","+","VI","yfr009w",-28.5460914088474,-6.11120837132572
NA,NA,NA,NA,"nup53","ymr153w","ORF","564435-565862","+","XIII","ymr153w",-28.4835961666909,33.2227977684839
NA,NA,NA,NA,"hem25","ydl119c","ORF","246689-247612","-","IV","ydl119c",-28.383519929931,33.2283693932255
NA,NA,NA,NA,"rbs1","ydl189w","ORF","122216-123589","+","IV","ydl189w",-28.3669346913002,16.2743784713962
NA,NA,NA,NA,"cct4","ydl143w","ORF","199996-201582","+","IV","ydl143w",-28.3044906429615,-16.102487409962
NA,NA,NA,NA,"yel025c","yel025c","ORF","102581-106147","-","V","yel025c",-28.265523409669,31.6266903719415
NA,NA,NA,NA,"aim9","yer080w","ORF","319963-321846","+","V","yer080w",-28.2530681345315,60.1213805104573
NA,NA,NA,NA,"vba2","ybr293w","ORF","787006-788430","+","II","ybr293w",-28.2378214998803,16.7492329923399
NA,NA,NA,NA,"ybl071c","ybl071c","ORF","90223-90531","-","II","ybl071c",-28.1947081570403,1.02151574410957
NA,NA,NA,NA,"ctf8","yhr191c","ORF","486230-486631","-","VIII","yhr191c",-28.1707816959097,19.6998711361544
NA,NA,NA,NA,"per33","ylr064w","ORF","265456-266277","+","XII","ylr064w",-28.0876480065037,4.3163966164128
NA,NA,NA,NA,"alo1","yml086c","ORF","95791-97371","-","XIII","yml086c",-28.0871662404021,36.3786017398626
"rrg1",0,0,1,"rrg1","ydr065w","ORF","580687-581784","+","IV","ydr065w",-28.0646772980139,28.4130476405022
NA,NA,NA,NA,"rfc5","ybr087w","ORF","423765-424829","+","II","ybr087w",-27.9904066184805,37.4697240604376
NA,NA,NA,NA,"thi80","yor143c","ORF","601383-602342","-","XV","yor143c",-27.9714717143463,22.9508390778649
NA,NA,NA,NA,"bub3","yor026w","ORF","379781-380806","+","XV","yor026w",-27.8940348555434,25.2032284423434
NA,NA,NA,NA,"mrpl3","ymr024w","ORF","321875-323047","+","XIII","ymr024w",-27.8580368555148,11.6405494431493
NA,NA,NA,NA,"cpr5","ydr304c","ORF","1071880-1072557","-","IV","ydr304c",-27.8381071288377,115.771331737452
"vps25",0,0,1,"vps25","yjr102c","ORF","619157-619765","-","X","yjr102c",-27.6922250327112,51.1700067060565
NA,NA,NA,NA,"nup100","ykl068w","ORF","310199-313078","+","XI","ykl068w",-27.6685039888438,16.8881847879674
NA,NA,NA,NA,"fmp41","ynl168c","ORF","318030-318809","-","XIV","ynl168c",-27.6440592395736,54.0892905977855
NA,NA,NA,NA,"yhr131w-a","yhr131w-a","ORF","367747-367992","+","VIII","yhr131w-a",-27.5378271796086,51.6620334166711
NA,NA,NA,NA,"ypr197c","ypr197c","ORF","933898-934461","-","XVI","ypr197c",-27.4416816235163,34.4244711320571
NA,NA,NA,NA,"yir035c","yir035c","ORF","421026-421790","-","IX","yir035c",-27.4084139232186,84.8399193599596
NA,NA,NA,NA,"yor139c","yor139c","ORF","586950-587342","-","XV","yor139c",-27.2784326163105,28.8492002203067
NA,NA,NA,NA,"ccr4","yal021c","ORF","110846-113359","-","I","yal021c",-27.2688667310868,38.6929786654878
"gpr1",0,1,0,"gpr1","ydl035c","ORF","389172-392057","-","IV","ydl035c",-27.2549467487851,43.3098043298957
NA,NA,NA,NA,"ycr045w-a","ycr045w-a","ORF","208751-209101","+","III","ycr045w-a",-27.2375394927695,20.43151665046
